ALTER SESSION SET NLS_DATE_FORMAT = 'DD/MM/YYYY';

insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0001', 'Bengt Huey', '06/05/2019', 'F', '368-369-5392', 'bhuey0@psu.edu', 'Japan');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0002', 'Wolf Howsin', '25/07/1960', 'M', '335-923-5061', 'whowsin1@ed.gov', 'Chile');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0003', 'Renie Copins', '23/05/2006', 'M', '409-693-4874', 'rcopins2@tmall.com', 'Yemen');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0004', 'Burt Povele', '11/08/1963', 'F', '590-354-2440', 'bpovele3@skyrock.com', 'Philippines');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0005', 'Ellerey Cordeiro', '11/02/1979', 'M', '645-668-7678', 'ecordeiro4@4shared.com', 'Indonesia');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0006', 'Raynell Caswill', '26/03/1971', 'F', '628-792-7176', 'rcaswill5@paypal.com', 'Indonesia');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0007', 'Benny Noddle', '29/03/1979', 'F', '902-579-9854', 'bnoddle6@sogou.com', 'South Africa');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0008', 'Brandais Pee', '28/01/1979', 'F', '893-638-3423', 'bpee7@mlb.com', 'Czech Republic');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0009', 'Xever Zanicchelli', '14/02/1980', 'M', '744-757-7019', 'xzanicchelli8@sun.com', 'France');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0010', 'Boothe Niessen', '22/06/1997', 'F', '924-728-4821', 'bniessen9@blog.com', 'China');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0011', 'Elston Jillis', '21/06/2011', 'F', '207-505-3488', 'ejillisa@csmonitor.com', 'Indonesia');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0012', 'Konrad Tucsell', '20/07/2018', 'M', '867-327-2828', 'ktucsellb@pinterest.com', 'Brazil');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0013', 'Shayna Cisco', '04/05/1993', 'F', '116-918-3894', 'sciscoc@wufoo.com', 'Russia');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0014', 'Sinclare Sineath', '01/05/2001', 'M', '751-992-6675', 'ssineathd@mac.com', 'China');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0015', 'Esma Fleckno', '18/04/2011', 'M', '924-276-2867', 'eflecknoe@youku.com', 'Philippines');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0016', 'Evie Robinson', '29/04/1997', 'F', '330-369-3823', 'erobinsonf@dion.ne.jp', 'China');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0017', 'Riva Bonney', '02/07/2012', 'F', '605-370-1627', 'rbonneyg@umich.edu', 'Canada');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0018', 'Desiree Slidders', '23/11/1999', 'M', '171-710-7809', 'dsliddersh@purevolume.com', 'Armenia');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0019', 'Fayre Munday', '03/05/1988', 'F', '920-419-4479', 'fmundayi@sciencedirect.com', 'Canada');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0020', 'Mano Egar', '27/11/1988', 'M', '813-532-0855', 'megarj@dyndns.org', 'Croatia');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0021', 'Mommy Fantini', '08/11/2008', 'M', '655-127-7040', 'mfantinik@ucla.edu', 'Belarus');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0022', 'Valaria Laister', '15/12/1968', 'F', '878-901-3718', 'vlaisterl@barnesandnoble.com', 'Nepal');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0023', 'Chelsy Larenson', '09/01/1969', 'M', '419-226-1917', 'clarensonm@cpanel.net', 'China');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0024', 'Victoria Ingold', '05/03/1993', 'F', '842-943-9764', 'vingoldn@go.com', 'Kazakhstan');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0025', 'Orelle Robertelli', '19/11/1978', 'M', '206-615-9777', 'orobertellio@cbslocal.com', 'Netherlands');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0026', 'Gaye Linner', '03/02/1989', 'M', '846-759-6092', 'glinnerp@ameblo.jp', 'Philippines');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0027', 'Ivar Insall', '28/03/2011', 'M', '685-191-5817', 'iinsallq@goo.gl', 'Sweden');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0028', 'Kellia Holsall', '27/01/1989', 'M', '554-767-6513', 'kholsallr@webnode.com', 'Ukraine');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0029', 'Willy Gush', '10/07/1974', 'M', '522-516-0836', 'wgushs@printfriendly.com', 'Russia');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0030', 'Anabel Novotna', '28/09/1982', 'M', '577-724-6242', 'anovotnat@yahoo.com', 'Indonesia');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0031', 'Hesther Durtnall', '21/10/2013', 'F', '667-783-9065', 'hdurtnallu@t-online.de', 'Poland');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0032', 'Siusan Briar', '15/04/2002', 'M', '959-506-0125', 'sbriarv@hibu.com', 'Albania');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0033', 'Salomo Di Giacomo', '14/03/1999', 'M', '938-438-3786', 'sdiw@cnn.com', 'China');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0034', 'Johnnie Cowl', '07/04/1979', 'F', '772-933-1808', 'jcowlx@fastcompany.com', 'Paraguay');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0035', 'Joann Lincey', '26/11/2000', 'M', '460-729-9725', 'jlinceyy@xinhuanet.com', 'China');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0036', 'Kayle Bright', '30/04/1980', 'F', '699-893-6984', 'kbrightz@github.com', 'Philippines');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0037', 'Karrie Tappor', '04/02/1973', 'M', '924-815-1085', 'ktappor10@example.com', 'Indonesia');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0038', 'Rosalind Gorgen', '29/07/1978', 'F', '426-227-9063', 'rgorgen11@tumblr.com', 'France');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0039', 'Caressa Handaside', '15/01/2000', 'F', '753-162-9589', 'chandaside12@sun.com', 'Indonesia');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0040', 'Zachary Leachman', '27/02/2007', 'F', '239-278-9409', 'zleachman13@tumblr.com', 'China');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0041', 'Dalston Mouan', '23/09/1977', 'F', '575-256-4202', 'dmouan14@pinterest.com', 'Russia');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0042', 'Eula Melesk', '03/08/2010', 'M', '765-671-6831', 'emelesk15@artisteer.com', 'Philippines');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0043', 'Ronda Elias', '11/11/2016', 'M', '604-233-1644', 'relias16@dropbox.com', 'Portugal');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0044', 'Valene Vasin', '28/03/1980', 'M', '846-967-8194', 'vvasin17@ibm.com', 'Peru');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0045', 'Johann Lindberg', '08/12/2016', 'F', '783-762-2645', 'jlindberg18@xrea.com', 'Russia');
insert into Customer (Customer_ID, Customer_Name, Date_of_Birth, Gender, Phone_No, Email, Country) values ('C0046', 'Lou Chatto', '17/01/1990', 'F', '593-607-6500', 'lchatto19@ibm.com', 'Indonesia');
